family,mode,epoch,train_loss,train_iou,train_dice,val_loss,val_iou,val_dice,learning_rate,seconds,train_alignment_iou,val_alignment_iou,train_seg_loss,train_align_loss,val_seg_loss,val_align_loss
baseline,part_only,1,0.858698662099973,0.1685297777979365,0.2294035656802063,0.7982742371039612,0.20979253950949756,0.28531326975637267,0.001,248.44013452529907,,,,,,
baseline,part_only,2,0.7681994990578004,0.22972851909441397,0.3079734431347633,0.7524833373781675,0.23938285597191145,0.3163273874931479,0.001,256.8472068309784,,,,,,
baseline,part_only,3,0.7270295010866306,0.2597464303593656,0.3435921584114663,0.7221849794140911,0.26144655122790394,0.343274387759041,0.001,255.94077968597412,,,,,,
baseline,part_only,4,0.69936576782217,0.27984852176411407,0.36825764684168466,0.701502860685511,0.27485421576417635,0.359468675193406,0.001,250.4122040271759,,,,,,
baseline,part_only,5,0.6803389994206651,0.29393351986285154,0.38487016772434934,0.6914509628711524,0.28457149506386814,0.37174691734061915,0.001,246.14416575431824,,,,,,
baseline,part_only,6,0.6665419853749323,0.3044909687044132,0.3970873385068072,0.6926298028314255,0.2798976611422361,0.3677891478054989,0.001,245.54725694656372,,,,,,
baseline,part_only,7,0.6533678286563688,0.31455166386066136,0.40861577167810814,0.6747593375600014,0.29704534579892244,0.38704219502281345,0.001,245.12227034568787,,,,,,
baseline,part_only,8,0.6425262302337083,0.32273334182178626,0.418307630228219,0.6748433881464385,0.29779043031741886,0.3871876110665364,0.001,239.76618695259094,,,,,,
baseline,part_only,9,0.6330848084661864,0.3301225401234631,0.4266491230693211,0.6723743509320379,0.3009937093417364,0.38983697702197967,0.001,251.5858552455902,,,,,,
baseline,part_only,10,0.6237030637629558,0.3375473049257325,0.43498433950195414,0.673184666304398,0.2975389293546687,0.3861906862181753,0.001,244.45046591758728,,,,,,
baseline,part_only,11,0.6152382957453363,0.3440669769084784,0.44251694691619403,0.6711885531743368,0.3010913668584155,0.3889546389525762,0.001,244.0838177204132,,,,,,
baseline,part_only,12,0.6071002073036843,0.3503207650558104,0.449655474238501,0.6674936273594376,0.3036774689293473,0.39248821116831184,0.001,251.95404839515686,,,,,,
baseline,part_only,13,0.6006060082275603,0.35591250122472107,0.4555689777862888,0.6726183241239257,0.30133211551617906,0.38922508773037273,0.001,245.74547457695007,,,,,,
baseline,part_only,14,0.5931024780163481,0.3618442033987117,0.46227684526445234,0.6712905944615377,0.30113238064087966,0.39065208574586185,0.001,251.1157410144806,,,,,,
baseline,part_only,15,0.5871260999627008,0.36656207851192857,0.46766202614878916,0.6638810425000155,0.3073634386641308,0.39650868409852763,0.001,245.59551191329956,,,,,,
baseline,part_only,16,0.5807138864137585,0.37182169853893576,0.4736394614511706,0.6733036452126735,0.30037545985838615,0.38643788473988044,0.001,250.18933939933777,,,,,,
baseline,part_only,17,0.574188627768849,0.3772566289910921,0.4797387672707286,0.6692088092029288,0.30530938722329876,0.3924231040889263,0.001,242.83078742027283,,,,,,
baseline,part_only,18,0.5684003561171882,0.3817981797129716,0.48476268155573776,0.6642738407097973,0.30726320612391994,0.3964950045914326,0.0005,251.5560269355774,,,,,,
baseline,part_only,19,0.5476226943958439,0.39968843198389853,0.5033841843167258,0.6683158154369301,0.3072093165968871,0.39380885718516934,0.0005,244.08907675743103,,,,,,
baseline,part_only,20,0.5389114418549817,0.40748968557834886,0.5115012888390978,0.6671884013611136,0.30833807134319663,0.3955388993764258,0.0005,252.05308866500854,,,,,,
baseline,object_mask,1,0.8504991795216229,0.17368539163490868,0.23573471404531401,0.7848294678243618,0.21620297653775386,0.2888813587839935,0.001,249.23000311851501,,,,,,
baseline,object_mask,2,0.7530842574811272,0.23970015632558636,0.3197952695753722,0.7329825144884012,0.25336873235568774,0.33384741458563616,0.001,263.7862732410431,,,,,,
